# Generated by `regiondb-build update`. Do not hand-edit: the next update
# pass overwrites this file. Corrections belong in classifications/ or
# overrides/, which the build applies on top.
# source: ourairports-airports
# url: https://davidmegginson.github.io/ourairports-data/airports.csv
# sha256: 2a5f05d4e2e9c6190ef6c6d28ff9f032d06d6e15c8d1d03d429d0cb72dda5140
# retrieved: 2026-08-21T03:15:49Z
iata,ident,type,name,latitude_deg,longitude_deg,iso_country,iso_region,municipality,scheduled_service
AFR,AYAF,small_airport,Afore Airstrip,-9.138670,148.390701,PG,PG-NPP,Afore,no
AFS,UTSN,small_airport,Sugraly Airport,41.613795,64.232963,UZ,UZ-NW,Zarafshan,no
AFT,AGAF,small_airport,Afutara Aerodrome,-9.191389,160.948611,SB,SB-ML,Bila,no
AFW,KAFW,medium_airport,Perot Field/Fort Worth Alliance Airport,32.990440,-97.319470,US,US-TX,Fort Worth,no
AFY,LTAH,medium_airport,Afyon Air Base,38.726398,30.601101,TR,TR-03,Afyonkarahisar,no
AFZ,OIMS,medium_airport,Sabzevar National Airport,36.168098,57.595200,IR,IR-09,Sabzevar,yes
AGA,GMAD,large_airport,Al Massira Airport,30.322478,-9.412003,MA,MA-09,Agadir (Temsia),yes
AGB,EDMA,medium_airport,Augsburg Airport,48.425278,10.931667,DE,DE-BY,Augsburg,no
AGC,KAGC,medium_airport,Allegheny County Airport,40.354401,-79.930199,US,US-PA,Pittsburgh,no
AGD,ID-AGD,small_airport,Anggi Airport,-1.385800,133.873700,ID,ID-PB,Anggi-Papua Island,no
AGE,EDWG,small_airport,Wangerooge Airport,53.782544,7.919584,DE,DE-NI,Wangerooge,yes
AGF,LFBA,medium_airport,Agen La Garenne airport,44.174171,0.593090,FR,FR-NAQ,Agen,no
AGG,AGG,small_airport,Angoram Airport,-4.057077,144.073841,PG,PG-ESW,Angoram,no
AGH,ESTA,medium_airport,Ängelholm-Helsingborg Airport,56.296101,12.847100,SE,SE-M,Ängelholm,yes
AGI,SMWA,small_airport,Wageningen Airstrip,5.841252,-56.673247,SR,SR-NI,Wageningen,yes
AGJ,RORA,small_airport,Aguni Airport,26.592755,127.240335,JP,JP-47,Aguni,yes
AGK,AGK,small_airport,Kagua Airport,-6.396389,143.853611,PG,PG-SHM,Kagua,no
AGL,AYWG,small_airport,Wanigela Airport,-9.337500,149.155556,PG,PG-NPP,Wanigela,no
AGN,PAGN,seaplane_base,Angoon Seaplane Base,57.497097,-134.567220,US,US-AK,Angoon,yes
AGO,KAGO,small_airport,Magnolia Municipal Airport / Ralph C Weiser Field,33.228001,-93.217002,US,US-AR,Magnolia,no
AGP,LEMG,large_airport,Málaga-Costa del Sol Airport,36.674900,-4.499110,ES,ES-AN,Málaga,yes
AGR,VIAG,medium_airport,Agra Airport / Agra Air Force Station,27.157975,77.961025,IN,IN-UP,Agra,yes
AGS,KAGS,medium_airport,Augusta Regional At Bush Field,33.369900,-81.964500,US,US-GA,Augusta,yes
AGT,SGES,large_airport,Guaraní International Airport,-25.457186,-54.839544,PY,PY-10,Ciudad del Este,yes
AGU,MMAS,large_airport,Aguascalientes International Airport,21.699589,-102.318372,MX,MX-AGU,Aguascalientes,yes
AGV,SVAC,medium_airport,Oswaldo Guevara Mujica Airport,9.553375,-69.237869,VE,VE-P,Acarigua,no
AGW,AU-AGW,small_airport,Agnew Airport,-12.145600,142.149369,AU,AU-QLD,Agnew,no
AGX,VOAT,medium_airport,Agatti Airport,10.823700,72.176003,IN,IN-LD,Agatti,yes
AGZ,FAAG,medium_airport,Aggeneys Airport,-29.281799,18.813900,ZA,ZA-NC,Aggeneys,no
AHA,IN-0393,medium_airport,Maa Mahamaya Airport,22.987530,83.196120,IN,IN-CT,Ambikapur,yes
AHB,OEAB,large_airport,Abha International Airport,18.240400,42.656601,SA,SA-14,Abha,yes
AHC,KAHC,small_airport,Amedee Army Air Field,40.266201,-120.153000,US,US-CA,Herlong,no
AHD,K1F0,small_airport,Ardmore Downtown Executive Airport,34.146999,-97.122704,US,US-OK,Ardmore,no
AHE,NTHE,medium_airport,Ahe Airport,-14.428100,-146.257004,PF,PF-U-A,Ahe Atoll,yes
AHF,K37V,small_airport,Arapahoe Municipal Airport,40.341576,-99.907839,US,US-NE,Arapahoe,no
AHG,MU-0001,small_airport,Agalega Island Airstrip,-10.373100,56.609798,MU,MU-AG,Vingt Cinq,no
AHH,KAHH,small_airport,Amery Municipal Airport,45.281101,-92.375397,US,US-WI,Amery,no
AHI,WAPA,small_airport,Amahai Airport,-3.347851,128.927093,ID,ID-MA,Amahai,no
AHJ,ZUHY,medium_airport,Hongyuan Airport,32.531540,102.352240,CN,CN-51,Ngawa (Hongyuan),no
AHL,SYAH,small_airport,Aishalton Airport,2.474030,-59.320786,GY,GY-UT,Aishalton,no
AHM,KS03,small_airport,Ashland Municipal Airport Sumner Parker Field,42.190265,-122.660648,US,US-OR,Ashland,no
AHN,KAHN,medium_airport,Athens Ben Epps Airport,33.948842,-83.325634,US,US-GA,Athens,no
AHO,LIEA,medium_airport,Alghero-Fertilia Airport,40.632099,8.290770,IT,IT-88,Alghero,yes
AHS,MHAH,small_airport,Ahuas Airport,15.472200,-84.352203,HN,HN-GD,Ahuas,no
AHU,GMTA,medium_airport,Cherif Al Idrissi Airport,35.177101,-3.839520,MA,MA-01,Al Hoceima,yes
AHY,AHY,small_airport,Ambatolhy Airport,-20.015833,45.535000,MG,MG-U,Ambatolahy,no
AHZ,LFHU,small_airport,L'Alpe d'Huez - Henri Giraud Altiport,45.087399,6.083604,FR,FR-ARA,"Huez, Isère",no
AIA,KAIA,medium_airport,Alliance Municipal Airport,42.052543,-102.803965,US,US-NE,Alliance,yes
AIC,AIP,small_airport,Ailinglaplap Airok Airport,7.279422,168.825700,MH,MH-ALL,Bigatyelang Island,no
AID,KAID,small_airport,Anderson Municipal Darlington Field,40.108601,-85.612999,US,US-IN,Anderson,no
AIE,AYAO,small_airport,Aiome Airport,-5.145700,144.730700,PG,PG-MPM,Aiome,no
AIF,SNAX,small_airport,Marcelo Pires Halzhausen Airport,-22.638601,-50.455983,BR,BR-SP,Assis,no
AIG,FEFY,small_airport,Yalinga Airport,6.520000,23.260000,CF,CF-HK,Yalinga,no
AIH,AYAK,small_airport,Aiambak Airport,-7.342778,141.267500,PG,PG-WPD,Aiambak,no
AII,HDAS,small_airport,Ali-Sabieh Airport,11.146889,42.720000,DJ,DJ-AS,Ali-Sabieh,no
AIK,KAIK,small_airport,Aiken Regional Airport,33.649399,-81.684998,US,US-SC,Aiken,no
AIL,PA-0003,small_airport,Ailigandí Airport,9.222600,-78.023600,PA,PA-GY,Isla Lorenzo Bello,no
AIM,MH-AIM,small_airport,Ailuk Airport,10.216800,169.983002,MH,MH-ALK,Ailuk Island,no
AIN,PAWI,medium_airport,Wainwright Airport,70.638000,-159.994995,US,US-AK,Wainwright,yes
AIO,KAIO,small_airport,Atlantic Municipal Airport,41.407299,-95.046898,US,US-IA,Atlantic,no
AIP,VIAX,small_airport,Adampur Airport,31.433800,75.758797,IN,IN-PB,Adampur,yes
AIR,SSOU,small_airport,Aripuanã Airport,-10.187375,-59.457469,BR,BR-MT,Aripuanã,no
AIS,NGTR,small_airport,Arorae Island Airport,-2.616233,176.802209,KI,KI-G,Arorae Island,no
AIT,NCAI,small_airport,Aitutaki Airport,-18.830900,-159.764008,CK,CK-U-A,Aitutaki,yes
AIU,NCAT,small_airport,Enua Airport,-19.967800,-158.119003,CK,CK-U-A,Atiu Island,yes
AIV,KAIV,small_airport,George Downer Airport,33.106499,-88.197800,US,US-AL,Aliceville,no
AIW,FYAA,small_airport,Ai-Ais Airport,-27.995000,17.596600,NA,NA-KA,Ai-Ais,no
AIY,SNUI,small_airport,Araçuaí Airport,-16.851571,-42.045633,BR,BR-MG,Araçuaí,no
AIZ,KAIZ,small_airport,Lee C Fine Memorial Airport,38.096001,-92.549500,US,US-MO,Kaiser Lake Ozark,no
